name,urls,exodus_link
Carnival,xxx.com,https://reports.exodus-privacy.eu.org/en/trackers/111/
Cauly,ad.cauly.co.kr,https://reports.exodus-privacy.eu.org/en/trackers/257/
Cedexis Radar,"cedexis-radar.net, cedexis.com, radar.cedexis.com",https://reports.exodus-privacy.eu.org/en/trackers/404/
Cheetah Ads,cmcm.com,https://reports.exodus-privacy.eu.org/en/trackers/168/
CleverTap,wzrkt.com,https://reports.exodus-privacy.eu.org/en/trackers/174/
Cloudmobi,"api.cloudmobi.net, cloudmobi.net, logger.cloudmobi.net, vast.cloudmobi.net",https://reports.exodus-privacy.eu.org/en/trackers/176/
Colocator,colocator.net,https://reports.exodus-privacy.eu.org/en/trackers/64/
ComScore,comscore.com,https://reports.exodus-privacy.eu.org/en/trackers/56/
Conversant,conversantmedia.com,https://reports.exodus-privacy.eu.org/en/trackers/282/
Conviva,cws.conviva.com,https://reports.exodus-privacy.eu.org/en/trackers/202/
Criteo,criteo.com,https://reports.exodus-privacy.eu.org/en/trackers/170/
CrowdTangle,api.crowdtangle.com,https://reports.exodus-privacy.eu.org/en/trackers/46/
Cuebiq,cuebiq.com,https://reports.exodus-privacy.eu.org/en/trackers/57/
Demdex,demdex.net,https://reports.exodus-privacy.eu.org/en/trackers/40/
Display,display.io,https://reports.exodus-privacy.eu.org/en/trackers/188/
Duapps,duapps.com,https://reports.exodus-privacy.eu.org/en/trackers/191/
Dynamic Yield,"adm.dynamicyield.com, api.dynamicyield.com, cdn.dynamicyield.com, px.dynamicyield.com, st.dynamicyield.com",https://reports.exodus-privacy.eu.org/en/trackers/152/
Emarsys Predict,recommender.scarabresearch.com,https://reports.exodus-privacy.eu.org/en/trackers/264/
Enhance,"app-config.enhance.co, data-location.enhance.co",https://reports.exodus-privacy.eu.org/en/trackers/297/
Ensighten,nexus.ensighten.com,https://reports.exodus-privacy.eu.org/en/trackers/151/
Eulerian,eulerian.com,https://reports.exodus-privacy.eu.org/en/trackers/51/
Exponea,"api.infinario.com, sygic-api.infinario.com",https://reports.exodus-privacy.eu.org/en/trackers/350/
Factual,api.factual.com,https://reports.exodus-privacy.eu.org/en/trackers/314/
Fiksu,"a.fiksu.com, sdk.fiksu.com",https://reports.exodus-privacy.eu.org/en/trackers/150/
Flurry,flurry.com,https://reports.exodus-privacy.eu.org/en/trackers/25/
FollowAnalytics,sdk.follow-apps.com,https://reports.exodus-privacy.eu.org/en/trackers/266/
